Frequency (Hz),FrontAxle_Left Front (G²/Hz),FrontAxle_Left_Rear (G²/Hz),FrontAxle_Right_Front (G²/Hz),FrontAxle_Right_Rear (G²/Hz)
361.328125,3.57E-06,3.13E-06,9.82E-07,2.23E-06
371.09375,2.91E-06,2.88E-06,1.11E-06,1.66E-06
380.859375,3.58E-06,2.78E-06,1.13E-06,1.82E-06
390.625,3.83E-06,1.98E-06,1.08E-06,1.74E-06
400.390625,3.67E-06,2.04E-06,1.04E-06,1.72E-06
410.15625,3.49E-06,2.47E-06,8.54E-07,2.20E-06
419.921875,3.35E-06,2.21E-06,6.85E-07,3.33E-06
429.6875,2.77E-06,1.79E-06,7.05E-07,4.57E-06
439.453125,2.09E-06,1.49E-06,5.41E-07,3.72E-06
449.21875,1.49E-06,1.57E-06,4.11E-07,2.52E-06
458.984375,1.19E-06,1.78E-06,2.64E-07,1.82E-06
468.75,1.22E-06,1.73E-06,2.09E-07,1.65E-06
478.515625,1.57E-06,1.73E-06,2.19E-07,1.66E-06
488.28125,2.10E-06,1.53E-06,2.80E-07,1.73E-06
498.046875,2.78E-06,1.49E-06,4.71E-07,2.21E-06
507.8125,3.29E-06,1.45E-06,5.64E-07,2.89E-06
517.578125,3.05E-06,1.44E-06,6.78E-07,3.64E-06
527.34375,3.51E-06,2.03E-06,6.28E-07,4.34E-06
537.109375,4.47E-06,3.65E-06,6.58E-07,6.16E-06
546.875,4.85E-06,4.54E-06,6.50E-07,6.79E-06
556.640625,5.34E-06,3.66E-06,6.95E-07,4.81E-06
566.40625,5.18E-06,2.92E-06,7.86E-07,3.34E-06
576.171875,4.39E-06,2.44E-06,7.07E-07,2.05E-06
585.9375,4.57E-06,2.09E-06,5.41E-07,1.17E-06
595.703125,4.52E-06,1.88E-06,6.49E-07,6.74E-07
605.46875,5.40E-06,1.58E-06,8.09E-07,5.41E-07
615.234375,5.00E-06,1.39E-06,6.96E-07,6.31E-07
625,3.46E-06,1.26E-06,4.82E-07,6.55E-07
634.765625,2.84E-06,9.92E-07,4.35E-07,8.38E-07
644.53125,2.54E-06,7.80E-07,3.66E-07,1.40E-06
654.296875,1.82E-06,6.78E-07,3.17E-07,1.88E-06
664.0625,1.60E-06,6.33E-07,3.41E-07,1.78E-06
673.828125,1.36E-06,5.02E-07,3.80E-07,1.74E-06
683.59375,1.30E-06,3.66E-07,5.65E-07,2.12E-06
693.359375,1.10E-06,3.73E-07,7.22E-07,2.68E-06
703.125,1.16E-06,3.74E-07,7.01E-07,2.05E-06
712.890625,1.21E-06,4.14E-07,6.69E-07,1.10E-06
722.65625,1.35E-06,5.86E-07,5.39E-07,6.91E-07
732.421875,1.30E-06,8.03E-07,5.24E-07,5.44E-07
742.1875,1.24E-06,1.06E-06,5.66E-07,5.07E-07
751.953125,1.30E-06,1.13E-06,4.78E-07,5.54E-07
761.71875,1.72E-06,1.14E-06,4.06E-07,6.38E-07
771.484375,2.23E-06,1.17E-06,4.72E-07,8.49E-07
781.25,2.88E-06,1.16E-06,5.49E-07,1.12E-06
791.015625,2.46E-06,1.08E-06,7.70E-07,1.24E-06
800.78125,2.26E-06,9.95E-07,9.92E-07,1.26E-06
810.546875,1.99E-06,8.50E-07,1.10E-06,1.53E-06
820.3125,1.45E-06,8.42E-07,9.60E-07,1.66E-06
830.078125,1.06E-06,1.31E-06,7.58E-07,1.71E-06
839.84375,1.03E-06,2.05E-06,5.60E-07,1.73E-06
849.609375,1.44E-06,1.75E-06,3.74E-07,1.89E-06
859.375,1.89E-06,1.20E-06,3.03E-07,2.36E-06
869.140625,1.65E-06,1.13E-06,4.00E-07,2.80E-06
878.90625,1.61E-06,1.14E-06,6.39E-07,2.74E-06
888.671875,1.58E-06,1.12E-06,9.44E-07,2.57E-06
898.4375,1.15E-06,9.46E-07,1.01E-06,2.16E-06
908.203125,8.64E-07,7.77E-07,9.63E-07,1.67E-06
917.96875,1.03E-06,6.49E-07,1.01E-06,1.57E-06
927.734375,1.30E-06,6.07E-07,1.28E-06,2.25E-06
937.5,1.57E-06,7.38E-07,1.97E-06,3.56E-06
947.265625,1.51E-06,9.72E-07,2.37E-06,4.24E-06
957.03125,1.26E-06,1.39E-06,2.31E-06,4.60E-06
966.796875,1.18E-06,2.05E-06,1.72E-06,3.91E-06
976.5625,1.05E-06,2.05E-06,1.26E-06,2.90E-06
986.328125,6.91E-07,1.76E-06,9.54E-07,2.28E-06
996.09375,5.68E-07,1.66E-06,5.69E-07,2.42E-06
